,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Abbeville,0,0,1,0,0,0,0,0,0,1,"5,153"
Abbeville,1,0,0,0,0,0,0,0,1,0,
Aberdeen,1,0,0,0,0,0,1,0,0,0,"15,720"
Aberdeen,0,0,1,0,0,0,0,1,0,0,"16,243"
Aberdeen Township,2,3,1,0,0,0,3,1,2,0,"18,403"
Abilene,3,0,0,0,0,0,0,1,2,0,"122,981"
Acton,5,2,1,0,0,0,1,1,4,2,"23,937"
Adams,1,0,0,0,0,0,0,0,0,1,
Adamsville,0,0,1,0,0,0,0,0,0,1,"2,207"
Adelanto,1,0,1,0,0,0,1,1,0,0,"33,693"
Adrian,1,0,0,0,0,0,0,0,1,0,"20,598"
Agawam,1,0,0,0,0,0,1,0,0,0,"28,839"
Akron,10,0,0,4,0,0,4,5,4,1,"197,412"
Alachua,1,0,0,0,0,0,0,0,1,0,
Alameda,6,1,2,1,0,0,0,0,7,3,"79,761"
Alameda,1,0,1,0,0,0,0,1,1,0,
Alameda County,1,0,0,0,0,0,0,0,0,1,
Alaska State Troopers,0,1,0,0,0,0,0,1,,,
Albany,4,0,0,0,0,0,0,0,2,2,"98,174"
Albany,1,0,1,0,0,0,1,0,0,1,"53,701"
Albany County ,2,0,0,0,0,0,1,0,0,1,
Albany,1,0,2,0,0,0,1,0,1,0,"19,880"
Albemarle,1,0,0,0,0,0,0,1,0,0,"16,022"
Albemarle County Police Department,2,0,0,0,0,0,0,2,0,0,
Albion,0,1,0,0,0,0,0,0,0,1,"8,293"
Albuquerque,4,2,1,0,0,0,,,4,3,"561,375"
Alcoa,0,1,0,0,0,0,0,0,0,1,"10,128"
Alexandria,1,2,0,0,0,0,1,2,0,0,"9,486"
Alexandria,1,2,2,0,0,0,3,2,0,0,"158,256"
Alhambra,1,0,0,0,0,1,1,1,0,0,"85,865"
Aliso Viejo,1,0,0,0,0,0,1,0,0,0,"51,984"
Allegan,1,0,0,0,0,0,0,0,1,0,
Alpena County,2,0,0,0,0,0,0,0,2,0,
Altavista,0,0,1,0,0,0,1,0,0,0,"3,470"
Altoona,1,0,0,0,0,0,1,0,0,0,"18,556"
Alvin,1,0,0,0,0,0,0,0,0,1,"26,488"
Amelia,1,1,0,0,0,0,0,2,0,0,"4,982"
Amelia,2,0,0,0,0,0,1,1,0,0,
Ames,1,0,0,0,0,0,0,0,1,0,"67,461"
Amherst College,0,0,2,0,0,0,2,0,,0,"1,849"
Amherst County,0,0,0,3,0,0,0,0,2,1,
Amherst,1,0,1,0,2,0,0,1,1,1,"40,313"
Anaheim,0,0,1,0,0,0,0,0,0,1,"353,400"
Anchorage,1,0,0,0,0,0,0,0,0,1,"296,188"
Anderson,0,1,0,0,0,0,0,0,1,0,
Anderson,1,0,0,0,0,0,0,1,0,0,
Andover,1,2,0,0,0,0,0,1,0,2,"35,898"
Andrews,7,0,0,0,0,0,4,2,1,0,"2,903"
Ann Arbor,3,13,3,0,0,0,1,2,8,8,"121,930"
Ann Arbor ,9,4,2,0,0,0,4,0,5,6,"44,718"
Annapolis,1,0,0,0,0,0,0,1,0,0,"39,596"
Anne Arundel County Police Department,5,1,2,0,0,1,4,3,2,0,
Antioch,1,0,0,0,0,0,0,1,0,0,"112,252"
Apache,2,0,0,0,0,0,0,0,0,2,
Apex,1,1,0,0,0,0,2,0,0,0,"49,159"
Apple Valley,0,1,0,0,0,0,0,0,1,0,"73,105"
Apple Valley,1,0,0,0,0,0,0,0,1,0,"52,439"
Appleton,1,3,0,0,0,0,0,0,1,3,"74,660"
Arapahoe,3,3,0,0,0,0,2,2,1,1,
Arcata,1,0,1,0,0,0,1,0,1,0,"18,054"
Ardsley Village,0,1,0,0,0,0,1,0,0,0,"4,663"
Arlington,2,7,1,1,0,3,6,7,1,0,"45,449"
Arlington,4,2,1,0,0,0,0,1,0,6,"397,377"
Arlington,1,0,0,0,0,0,0,1,0,0,"19,302"
Arlington County Police Department,2,2,0,0,0,0,1,1,2,0,
Arma,0,0,1,0,0,0,0,0,1,0,"1,438"
Arvada,1,0,1,0,0,0,2,0,0,0,"119,346"
Ashburnham,1,0,0,0,0,0,0,1,0,0,"6,255"
Asheville,4,2,1,0,0,0,3,2,2,0,"90,103"
Ashland,0,0,1,0,0,0,1,0,0,0,"20,927"
Ashland,0,0,0,1,0,0,0,0,0,1,
Ashland,1,0,0,0,0,0,0,0,0,1,"20,485"
Ashland,3,0,0,0,0,0,2,0,1,0,
Ashland,1,1,1,0,0,0,1,0,1,1,"21,908"
Aspen,1,0,0,0,0,0,0,1,0,0,"6,906"
Athens,1,0,0,0,0,0,0,1,0,0,
Atlanta,0,1,2,0,0,0,2,1,0,0,"481,343"
Attleboro,1,0,0,0,0,0,0,1,0,0,"44,607"
Atwater,1,0,0,0,0,1,1,0,1,0,"29,442"
Aubrey,0,0,1,0,0,0,1,0,0,0,"3,535"
Auburn,1,0,0,0,0,0,0,1,0,,"26,686"
Auburn,4,0,1,0,0,0,0,3,2,0,"78,718"
Augusta,0,1,0,0,0,0,1,0,0,0,"18,394"
Aurora,14,3,1,0,0,0,8,7,2,1,"368,018"
Aurora,2,0,0,0,0,0,1,1,0,0,"201,599"
Aurora,2,0,0,0,0,0,0,1,0,1,"15,932"
Austin,10,3,4,0,0,1,5,4,4,5,"971,949"
Austin,1,0,0,0,0,0,0,0,1,0,
Austin,0,1,0,0,0,0,0,0,0,1,
Austintown,1,0,0,0,0,0,0,1,0,0,"35,303"
Avon,1,0,0,0,0,0,1,0,0,0,"18,397"
Avondale,0,0,1,0,0,0,0,0,0,1,"84,041"
Azusa,2,0,0,0,0,0,0,0,1,1,"50,202"
Baker City,0,0,1,0,0,0,1,0,0,0,"9,764"
Bakersfield,4,0,3,0,0,0,0,3,0,4,"381,154"
Balch Springs,1,0,0,0,0,0,0,0,1,0,"25,199"
Baltimore,0,0,0,0,0,1,0,0,0,1,"613,217"
Baltimore,1,0,0,0,0,0,0,0,0,1,"2,973"
Baltimore County ,0,3,0,0,0,0,1,1,1,0,"13,640"
Baltimore County Police Department,5,1,0,0,0,4,6,1,3,0,
Bamberg,0,4,0,0,0,0,2,1,0,1,
Bangor,1,0,0,0,0,0,0,1,0,0,"1,839"
Barberton,2,0,0,0,0,0,0,0,1,1,"26,050"
Barboursville,0,1,0,0,0,0,1,0,0,0,"4,315"
Barbourville,1,0,0,0,1,0,0,1,0,1,"3,169"
Barnstable,2,0,0,0,0,0,0,1,0,1,"44,142"
Barren County Drug Task Force,3,0,0,0,0,0,1,1,1,0,
Barry County,3,0,0,0,0,0,0,0,3,0,
Bartlett,1,0,0,0,0,0,0,0,1,0,"58,895"
Barton,0,1,0,0,0,0,0,0,1,0,
Battle Creek,2,1,3,0,1,0,3,2,1,1,"60,852"
Battle Ground,1,0,0,0,0,0,1,0,0,0,"20,516"
Bay City,1,0,0,0,0,0,1,0,0,0,"33,286"
Bay County,2,0,1,0,0,0,0,1,2,0,
Beaufort,4,0,0,0,0,0,0,0,4,0,"13,612"
Beaufort,1,1,1,0,0,0,1,0,1,1,
Beaumont,1,0,0,0,0,0,0,1,0,0,"118,456"
Beaver Township,1,0,0,0,0,0,0,1,0,0,"6,427"
Beavercreek,1,0,0,0,0,0,0,0,1,0,"46,572"
Beaverton,1,2,0,0,0,0,0,1,1,1,"98,897"
Bedford,1,0,0,0,0,0,1,0,0,0,"49,947"
Bedford,1,0,0,0,0,0,0,0,0,1,"6,622"
Bedford,0,0,0,1,0,0,0,1,0,0,
Bell,0,1,0,0,0,0,0,0,0,1,"35,925"
Bell,0,1,0,0,0,0,1,0,0,0,
Bell Gardens,1,0,0,0,0,0,0,0,1,0,"42,930"
Belle Plaine,1,0,0,0,0,0,0,0,0,1,"7,066"
Bellefontaine,1,0,0,0,0,0,0,0,1,0,"13,144"
Belleville,1,0,0,0,0,0,0,0,1,0,"3,832"
Bellevue,11,4,0,0,0,1,3,3,6,4,"143,703"
Bellflower,0,1,0,0,0,0,0,0,0,1,"77,984"
Bellingham,9,0,1,0,1,0,0,5,3,3,"88,652"
Bellmead,1,0,0,0,0,0,0,1,0,0,"10,371"
Belmar,0,0,1,0,0,0,0,1,0,0,"5,666"
Belmont,0,1,0,0,0,0,1,0,0,0,"27,285"
Belmont,1,0,0,0,0,0,0,0,0,1,"26,432"
Belmont,1,0,0,0,0,0,0,0,0,1,
Beloit,0,2,0,0,0,0,2,0,0,,"36,724"
Belvidere,1,0,0,0,0,0,0,0,0,1,"2,589"
