City,ACEEE City Score
Albany,nan
Albuquerque,23
Anchorage,nan
Atlanta,45
Augusta,nan
Austin,63
Baltimore,39.5
Baton Rouge,nan
Birmingham,11
Boise,nan
Boston,77.5
Buffalo,28
Charlotte,16
Chattanooga,nan
Chicago,56.5
Cincinnati,33
Clarksville,nan
Cleveland,40.5
Colorado Springs,nan
Columbia,nan
Columbus,nan
Columbus,41.5
Corpus Christi,nan
Dallas,29.5
Dayton,nan
Denver,64.5
Des Moines,nan
Detroit,18
El Paso,20.5
Fayetteville,nan
Fort Wayne,nan
Fresno-Bakersfield,nan
Grand Rapids,29
Greensboro,nan
Greenville,nan
Hartford,43.5
Honolulu,26
Houston,31.5
Huntsville,nan
Idaho Falls,nan
Indianapolis,24
Jacksonville,16.5
Kansas City,44.5
Knoxville,27
Laredo,nan
Las Vegas,34
Lexington,nan
Lincoln,nan
Little Rock,nan
Los Angeles,65.5
Louisville,22.5
Lubbock,nan
Macon,nan
Madison,nan
Medford,nan
Memphis,18.5
Miami,22.5
Milwaukee,26.5
Minneapolis,69
Mobile,nan
Montgomery,nan
Nashville,26
New Orleans,23
New York City,67
Oklahoma City,5.5
Omaha,15.5
Orlando,51.5
Philadelphia,51
Phoenix,50.5
Pittsburgh,46
Portland,62.5
Providence,41.5
Raleigh,26.5
Reno,18.5
Richmond-Norfolk,28
Rochester,22
Sacramento,45.5
Salt Lake City,35.5
San Antonio,34
San Diego,58.5
San Francisco,71.5
Savannah,nan
Seattle,70
Shreveport,nan
Spokane,nan
Springfield,nan
St. Louis,31
Syracuse,nan
Tallahassee,nan
Tampa,21
Toledo,nan
Tucson,23
Tulsa,6.5
Tuscaloosa,nan
Washington,68
Wichita,nan
