,comb_metro,funding,jobs_created,patents,ipo,population,gdp,gdp_per_capita,latitude,longitude,female,female_funding,female_jobs_created,female_patents,female_ipo,male,male_funding,male_jobs_created,male_patents,male_ipo,female_funding_mean,female_jobs_created_mean,female_patents_mean,female_age_years_mean,female_funding_median,female_jobs_created_median,female_patents_median,female_age_years_median,male_funding_mean,male_jobs_created_mean,male_patents_mean,male_age_years_mean,male_funding_median,male_jobs_created_median,male_patents_median,male_age_years_median
0,"Albany, NY",85830390,12860,47,0,886188,54302,61275.94,42.7879202,-73.9423479,13,3203692,450,5,0,78,82626698,12410,42,0,246437.8462,34.61538462,0.3846153846,9.787769231,0,50,0,8.3808,1059316.641,163.2894737,0.5384615385,7.673276923,0,10,0,6.6959
1,"Albuquerque, NM",841193433,3820,322,0,1059476,51307,48426.77,35.1166033,-106.4565347,17,312188160,720,90,0,78,529005273,3100,232,0,18364009.41,48,5.294117647,7.974376471,0,50,0,7.4658,6782118.885,43.66197183,2.974358974,8.678757692,125000,50,0,8.4658
2,"Anchorage, AK",6878554,570,4,0,400888,27963,69752.65,62.2127844,-149.6782218,9,1590000,90,0,0,13,5288554,480,4,0,176666.6667,10,0,4.098055556,0,10,0,3.4658,406811.8462,40,0.3076923077,5.7155,75000,10,0,3.3808
3,"Atlanta, GA",16655026618,2167210,1206,13,6437782,411853,63974.36,33.693728,-84.3999113,154,1062905193,18970,126,1,1203,15592121425,2148240,1080,12,6901981.773,126.4666667,0.8181818182,7.107850649,0,10,0,6.4644,12961031.94,1831.40665,0.897755611,7.922542062,0,50,0,7.0384
4,"Augusta, GA",24116970,240,0,0,600151,24395,40648.1,33.4603713,-81.9828327,3,39000,70,0,0,4,24077970,170,0,0,13000,23.33333333,0,6.010966667,0,10,0,5.7479,6019492.5,42.5,0,7.328775,39000,30,0,6.57945
5,"Austin, TX",15030109331,2127470,1520,16,2115827,148750,70303.48,30.2395128,-97.6912697,210,611134954,8220,71,0,1579,14418974377,2119250,1449,16,2910166.448,40.89552239,0.3380952381,6.894148095,0,10,0,5.9288,9131712.715,1377.925878,0.917669411,7.403838062,55500,50,0,6.4658
6,"Baltimore, MD",3522863630,44760,235,1,5616350,384356,68435.19,39.304361,-76.5495009,51,256577242,1870,41,0,381,3266286388,42890,194,1,5030926.314,38.95833333,0.8039215686,6.782654902,159969,10,0,6.1945,8572930.152,115.9189189,0.5091863517,7.698273228,200000,10,0,6.4658
7,"Baton Rouge, LA",11172499,770,3,0,834159,54988,65920.29,30.5708895,-91.134533,3,2150000,70,0,0,25,9022499,700,3,0,716666.6667,23.33333333,0,11.5945,750000,10,0,9.263,360899.96,29.16666667,0.12,8.09458,0,10,0,7.0493
8,"Birmingham, AL",127232712,3530,24,0,1149807,64553,56142.47,33.4623718,-86.8143378,18,6790000,380,0,0,65,120442712,3150,24,0,377222.2222,21.11111111,0,7.552527778,0,10,0,5.0384,1852964.8,52.5,0.3692307692,7.248346154,0,10,0,6.463
9,"Boise, ID",360828530,4900,66,0,709845,33604,47339.91,43.0066485,-116.1419089,8,1707889,680,1,0,67,359120641,4220,65,0,213486.125,85,0.125,6.29625,0,50,0,7.4658,5360009.567,66.98412698,0.9701492537,7.868177612,0,50,0,8.0055
10,"Boston, MA",105566758821,10519360,9146,179,6188703,510877,82549.93,42.517606,-71.0219925,516,8480513519,32800,609,25,3774,97086245302,10486560,8537,154,16435103.72,65.86345382,1.180232558,7.411022093,248000,10,0,6.67535,25725025.25,2903.255814,2.262056174,7.933697536,1187500,50,0,7.4658
11,"Buffalo, NY",1048183960,7280,39,3,1136856,60014,52789.45,43.0443711,-78.7773351,13,60418617,610,1,0,83,987765343,6670,38,3,4647585.923,50.83333333,0.07692307692,5.933623077,975617,30,0,5.463,11900787.27,91.36986301,0.4578313253,7.525912048,260000,10,0,6.0521
12,"Cape Coral, FL",89770000,1060,0,0,739224,27953,37813.98,26.5590348,-81.8919943,6,900000,180,0,0,29,88870000,880,0,0,150000,30,0,9.552966667,0,30,0,9.72055,3064482.759,30.34482759,0,7.055944828,0,10,0,6.4658
