,,Place,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alabama,Total,Total,8,1,0,0,0,0,,,,,
Alabama,Cities,Total,7,1,0,0,0,0,,,,,
Alabama,Cities,Hoover,5,1,0,0,0,0,2,1,2,1,"85,634"
Alabama,Cities,Ozark,2,0,0,0,0,0,1,,,1,"14,559"
Alabama,Universities and Colleges,Total,1,0,0,0,0,0,,,,,
Alabama,Universities and Colleges,Jacksonville State University,1,0,0,0,0,0,,,1,,"8,514"
Alaska,Total,Total,3,1,0,0,0,0,,,,,
Alaska,Cities,Total,3,0,0,0,0,0,,,,,
Alaska,Cities,Anchorage,1,0,0,0,0,0,0,0,0,1,"296,188"
Alaska,Cities,Juneau,2,0,0,0,0,0,0,0,0,2,"32,344"
Alaska,State Police Agencies,Total,0,1,0,0,0,0,,,,,
Alaska,State Police Agencies,Alaska State Troopers,0,1,0,0,0,0,0,1,,,
Arizona,Total,Total,168,48,55,5,0,12,,,,,
Arizona,Cities,Total,160,47,52,5,0,12,,,,,
Arizona,Cities,Avondale,0,0,1,0,0,0,0,0,0,1,"84,041"
Arizona,Cities,Chandler,1,0,0,0,0,0,0,1,0,0,"249,355"
Arizona,Cities,Cottonwood,1,0,0,0,0,0,0,0,0,1,"12,116"
Arizona,Cities,El Mirage,1,0,0,0,0,0,0,1,,,"35,611"
Arizona,Cities,Gilbert,2,1,0,0,0,0,0,1,1,1,"242,090"
Arizona,Cities,Glendale,3,2,0,0,0,0,0,1,2,2,"249,273"
Arizona,Cities,Mesa,4,1,0,0,0,0,1,0,1,3,"492,268"
Arizona,Cities,Page,1,0,0,0,0,0,0,0,1,0,"7,632"
Arizona,Cities,Phoenix,142,41,44,4,0,12,49,57,48,65,"1,644,177"
Arizona,Cities,Scottsdale,2,1,1,0,0,0,4,0,0,0,"251,840"
Arizona,Cities,St. Johns,2,0,0,0,0,0,1,0,1,0,"3,581"
Arizona,Cities,Tucson,0,1,3,1,0,0,1,2,1,1,"532,323"
Arizona,Cities,Wickenburg,0,0,1,0,0,0,0,0,0,1,"6,979"
Arizona,Cities,Yuma,1,0,2,0,0,0,1,0,2,0,"95,522"
Arizona,Universities and Colleges,Total,1,1,1,0,0,0,,,,,
Arizona,Universities and Colleges,University of Arizona,1,1,1,0,0,0,0,0,3,,"43,161"
Arizona,Metropolitan Counties,Total,5,0,2,0,0,0,,,,,
Arizona,Metropolitan Counties,Maricopa,1,0,2,0,0,0,2,0,0,1,
Arizona,Metropolitan Counties,Mohave,1,0,0,0,0,0,0,0,1,,
Arizona,Metropolitan Counties,Pima,2,0,0,0,0,0,2,,,0,
Arizona,Metropolitan Counties,Yuma,1,0,0,0,0,0,1,0,0,0,
Arizona,Nonmetropolitan Counties,Total,2,0,0,0,0,0,,,,,
Arizona,Nonmetropolitan Counties,Apache,2,0,0,0,0,0,0,0,0,2,
Arkansas,Total,Total,5,0,1,1,0,0,,,,,
Arkansas,Cities,Total,5,0,1,0,0,0,,,,,
Arkansas,Cities,Benton,1,0,0,0,0,0,0,0,1,0,"36,702"
Arkansas,Cities,Fayetteville,0,0,1,0,0,0,0,0,0,1,"85,592"
Arkansas,Cities,Fort Smith,4,0,0,0,0,0,0,1,1,2,"88,437"
Arkansas,Nonmetropolitan Counties,Total,0,0,0,1,0,0,,,,,
Arkansas,Nonmetropolitan Counties,Boone,0,0,0,1,0,0,0,1,0,0,
California,Total,Total,603,207,248,4,4,29,,,,,
California,Cities,Total,524,187,217,4,4,26,,,,,
California,Cities,Adelanto,1,0,1,0,0,0,1,1,0,0,"33,693"
California,Cities,Alameda,6,1,2,1,0,0,0,0,7,3,"79,761"
California,Cities,Albany,1,0,2,0,0,0,1,0,1,0,"19,880"
California,Cities,Alhambra,1,0,0,0,0,1,1,1,0,0,"85,865"
California,Cities,Aliso Viejo,1,0,0,0,0,0,1,0,0,0,"51,984"
California,Cities,Anaheim,0,0,1,0,0,0,0,0,0,1,"353,400"
California,Cities,Antioch,1,0,0,0,0,0,0,1,0,0,"112,252"
California,Cities,Apple Valley,0,1,0,0,0,0,0,0,1,0,"73,105"
California,Cities,Arcata,1,0,1,0,0,0,1,0,1,0,"18,054"
California,Cities,Atwater,1,0,0,0,0,1,1,0,1,0,"29,442"
California,Cities,Azusa,2,0,0,0,0,0,0,0,1,1,"50,202"
California,Cities,Bakersfield,4,0,3,0,0,0,0,3,0,4,"381,154"
California,Cities,Bell,0,1,0,0,0,0,0,0,0,1,"35,925"
California,Cities,Bellflower,0,1,0,0,0,0,0,0,0,1,"77,984"
California,Cities,Bell Gardens,1,0,0,0,0,0,0,0,1,0,"42,930"
California,Cities,Belmont,0,1,0,0,0,0,1,0,0,0,"27,285"
California,Cities,Benicia,1,0,0,0,0,0,0,1,0,0,"28,370"
California,Cities,Berkeley,13,4,6,0,0,0,7,6,4,6,"122,687"
California,Cities,Beverly Hills,2,0,0,0,0,0,0,0,1,1,"34,781"
California,Cities,Brentwood,1,0,0,0,0,1,0,1,1,0,"62,120"
California,Cities,Buena Park,1,0,0,0,0,0,0,1,0,0,"83,552"
California,Cities,Burbank,1,6,1,0,0,0,1,1,0,6,"104,622"
California,Cities,Camarillo,1,0,0,0,0,0,0,1,0,0,"67,714"
California,Cities,Capitola,1,0,0,0,0,0,0,0,0,1,"10,222"
California,Cities,Carlsbad,4,2,1,0,0,0,0,4,0,3,"115,344"
California,Cities,Carson,0,1,0,0,0,0,0,0,1,0,"92,992"
California,Cities,Central Marin,0,2,0,0,0,0,0,1,0,1,"35,060"
California,Cities,Chico,1,0,0,0,0,0,0,0,1,0,"92,459"
California,Cities,Chino,5,0,1,0,0,0,2,2,1,1,"89,420"
California,Cities,Chino Hills,1,0,0,0,0,0,1,0,0,0,"79,480"
California,Cities,Citrus Heights,1,0,1,0,0,0,1,0,1,0,"88,126"
California,Cities,Clearlake,0,1,1,0,0,0,1,1,0,0,"15,018"
California,Cities,Colma,0,0,1,0,0,0,0,1,0,0,"1,520"
California,Cities,Concord,0,0,1,0,0,0,0,0,1,0,"129,789"
California,Cities,Corcoran,1,0,0,0,0,0,0,1,0,0,"22,345"
California,Cities,Corning,1,0,0,0,0,0,0,1,0,0,"7,511"
California,Cities,Corona,1,0,1,0,0,0,0,0,2,0,"169,164"
California,Cities,Costa Mesa,2,0,0,0,0,0,1,0,0,1,"113,267"
California,Cities,Covina,0,0,1,0,0,0,0,1,0,0,"48,674"
California,Cities,Crescent City,1,0,0,0,0,0,0,0,0,1,"6,529"
California,Cities,Daly City,0,0,1,0,0,0,0,0,1,0,"107,355"
California,Cities,Davis,4,3,0,0,0,0,2,4,0,1,"68,540"
California,Cities,Desert Hot Springs,1,0,0,0,0,0,1,0,0,0,"28,717"
California,Cities,Duarte,2,0,0,0,0,0,2,0,0,0,"21,877"
California,Cities,Dublin,1,0,0,0,0,0,0,1,0,0,"62,235"
California,Cities,East Palo Alto,0,1,0,0,0,0,0,0,0,1,"29,933"
California,Cities,El Cajon,4,0,2,0,0,0,0,2,3,1,"104,447"
California,Cities,Elk Grove,4,0,0,0,0,0,0,1,2,1,"172,620"
California,Cities,El Monte,2,0,1,0,0,0,1,1,0,1,"116,168"
California,Cities,El Segundo,1,0,0,0,0,0,0,0,1,0,"16,932"
California,Cities,Escondido,5,0,0,0,0,0,3,0,1,1,"152,845"
California,Cities,Fairfield,3,0,0,0,0,0,0,1,1,1,"116,372"
California,Cities,Fontana,0,2,1,0,0,0,1,1,1,0,"211,782"
California,Cities,Fort Bragg,2,1,0,0,0,0,1,1,0,1,"7,289"
California,Cities,Foster City,0,1,0,0,0,0,1,0,0,0,"34,808"
California,Cities,Fremont,1,1,0,0,0,0,0,1,1,0,"236,368"
California,Cities,Fresno,7,1,4,0,0,1,1,3,6,3,"526,371"
California,Cities,Garden Grove,7,0,0,0,0,1,3,0,4,1,"175,466"
California,Cities,Glendora,1,0,0,0,0,0,0,0,0,1,"52,133"
California,Cities,Goleta,1,0,0,0,0,0,1,0,0,0,"31,000"
California,Cities,Gonzales,1,0,0,0,0,0,1,0,0,0,"8,508"
